Varroa Population Simulation - Dec 08,2016  03:01:30 PM
VarroaPop Version 3.2.6.11  Nov 2016

                                        Capped  Capped                                                                      Prop           Conc          Conc                                             
            Colony  Adult  Adult         Drone   Wkr    Drone  Wkr    Drone  Wkr  Free   DBrood WBrood DMite  WMite  Mites  Mites  Colony Pollen Colony Nectar   Dead   Dead   Dead   Dead   Dead    Queen      Ave
     Date   Size   Drones   Wkr   Forgrs Brood  Brood   Larv   Larv    Eggs  Eggs Mites  Mites  Mites  /Cell  /Cell  Dying  Dying  Pollen  Pest  Nectar  Pest    DLarv  WLarv  DAdlt  WAdlt  Forgrs  Strength   Temp   Rain
Initial     10000      0   7770   2230      0      0      0      0      0      0      0      0      0   0.00   0.00      0   0.00    0.0  0.000    0.0  0.000      0      0      0      0      0      1.000    0.000  0.000
01/01/1988  10000      0   7770   2230      0      0      0      0      0      6      0      0      0   0.00   0.00      0   0.00 5901.3  0.000 4499.2  0.000      0      0      0      0      0      1.000    1.500  0.000
01/02/1988  10000      0   7770   2230      0      0      0      0      0     23      0      0      0   0.00   0.00      0   0.00 5881.3  0.000 4420.7  0.000      0      0      0      0      0      1.000    4.400  0.012
01/03/1988  10000      0   7770   2230      0      0      0      0      0     54      0      0      0   0.00   0.00      0   0.00 5861.3  0.000 4342.1  0.000      0      0      0      0      0      1.000    8.400  0.051
01/04/1988   9994      0   7400   2594      0      0      0      6      0     87      0      0      0   0.00   0.00      0   0.00 5841.3  0.000 4263.7  0.000      0      0      0      0      0      1.000   10.800  0.382
01/05/1988   9988      0   7030   2958      0      0      0     23      0    110      0      0      0   0.00   0.00      0   0.00 5821.3  0.000 4185.2  0.000      0      0      0      0      0      1.000   10.200  0.331
01/06/1988   9982      0   6660   3322      0      0      0     54      0    102      0      0      0   0.00   0.00      0   0.00 5801.3  0.000 4106.8  0.000      0      0      0      0      0      1.000    4.900  0.000
01/07/1988   9975      0   6290   3685      0      0      0     93      0     89      0      0      0   0.00   0.00      0   0.00 5781.4  0.000 4028.4  0.000      0      0      0      0      0      1.000    5.200  0.000
01/08/1988   9968      0   5920   4048      0      0      0    133      0     90      0      0      0   0.00   0.00      0   0.00 5761.4  0.000 3950.1  0.000      0      0      0      0      0      1.000    8.100  0.000
01/09/1988   9961      0   5550   4411      0      6      0    150      0    108      0      0      0   0.00   0.00      0   0.00 5741.5  0.000 3871.8  0.000      0      0      0      0      0      1.000    7.700  0.000
01/10/1988   9954      0   5180   4774      0     23      0    159      0    124      0      0      0   0.00   0.00      0   0.00 5721.6  0.000 3793.5  0.000      0      0      0      0      0      1.000    7.300  0.000
01/11/1988   9947      0   4810   5137      0     54      0    169      0    134      0      0      0   0.00   0.00      0   0.00 6082.8  0.000 8337.3  0.000      0      0      0      0      0      1.000    8.600  0.051
01/12/1988   9939      0   4440   5499      0     93      0    171      0    128      0      0      0   0.00   0.00      0   0.00 6062.9  0.000 8259.1  0.000      0      0      0      0      0      1.000    5.400  0.000
01/13/1988   9931      0   4070   5861      0    133      0    173      0    128      0      0      0   0.00   0.00      0   0.00 6043.1  0.000 8181.0  0.000      0      0      0      0      0      1.000    6.300  0.000
01/14/1988   9923      0   3700   6223      0    156      0    201      0    126      0      0      0   0.00   0.00      0   0.00 6023.2  0.000 8102.9  0.000      0      0      0      0      0      1.000    7.100  0.000
01/15/1988   9915      0   3330   6585      0    182      0    210      0    149      0      0      0   0.00   0.00      0   0.00 6003.4  0.000 8024.9  0.000      0      0      0      0      0      1.000    8.400  0.142
01/16/1988   9906      0   2960   6946      0    223      0    211      0    162      0      0      0   0.00   0.00      0   0.00 5983.6  0.000 7946.9  0.000      0      0      0      0      0      1.000    7.500  0.150
01/17/1988   9897      0   2590   7307      0    264      0    219      0    178      0      0      0   0.00   0.00      0   0.00 5963.8  0.000 7868.9  0.000      0      0      0      0      0      1.000    8.700  0.409
01/18/1988   9888      0   2220   7668      0    306      0    235      0    171      0      0      0   0.00   0.00      0   0.00 5944.0  0.000 7791.1  0.000      0      0      0      0      0      1.000    6.300  0.000
01/19/1988   9879      0   1850   8029      0    357      0    239      0    162      0      0      0   0.00   0.00      0   0.00 5924.3  0.000 7713.2  0.000      0      0      0      0      0      1.000    5.500  0.000
01/20/1988   9869      0   1480   8389      0    392      0    269      0    143      0      0      0   0.00   0.00      0   0.00 5904.5  0.000 7635.5  0.000      0      0      0      0      0      1.000    5.300  0.000
01/21/1988   9859      0   1110   8749      0    434      0    278      0    123      0      0      0   0.00   0.00      0   0.00 5884.8  0.000 7557.8  0.000      0      0      0      0      0      1.000    3.200  0.000
01/22/1988   9503      0    746   8757      0    477      0    275      0    139      0      0      0   0.00   0.00      0   0.00 6515.4  0.000 15361.1  0.000      0      0      0      0      0      1.000    6.900  0.000
01/23/1988   9159      0    393   8766      0    518      0    263      0    157      0      0      0   0.00   0.00      0   0.00 7147.4  0.000 23174.5  0.000      0      0      0      0      0      1.000    7.000  0.000
01/24/1988   8480      0     54   8426      0    542      0    239      0    198      0      0      0   0.00   0.00      0   0.00 7755.6  0.000 30686.0  0.000      0      0      0      0      0      1.000    7.900  0.000
01/25/1988   8161      0     93   8068      0    568      0    236      0    217      0      0      0   0.00   0.00      0   0.00 8337.8  0.000 37877.4  0.000      0      0      0      0      0      1.000    9.200  0.000
01/26/1988   1598      0    133   1465      0    579      0    249      0    238      0      0      0   0.00   0.00      0   0.00 8443.3  0.000 39174.9  0.000      0      0      0      0      0      1.000    9.700  0.000
01/27/1988   1253      0    156   1097      0    602      0    275      0    205      0      0      0   0.00   0.00      0   0.00 8522.2  0.000 40144.7  0.000      0      0      0      0      0      1.000   11.000  0.000
01/28/1988    912      0    182    730      0    622      0    310      0    160      0      0      0   0.00   0.00      0   0.00 8575.4  0.000 40573.0  0.000      0      0      0      0      0      1.000   12.900  0.000
01/29/1988    587      0    223    364      0    612      0    364      0    101      0      0      0   0.00   0.00      0   0.00 8601.4  0.000 40773.9  0.000      0      0      0      0      0      1.000   12.300  0.000
01/30/1988    264      0    264      0      0    633      0    341      0     74      0      0      0   0.00   0.00      0   0.00 8600.9  0.000 40768.4  0.000      0      0      0      0      0      1.000   10.100  0.000
01/31/1988    306      0    306      0      0    655      0    313      0     38      0      0      0   0.00   0.00      0   0.00 8600.3  0.000 40762.2  0.000      0      0      0      0      0      1.000    6.600  0.000
02/01/1988    357      0    357      0      0    676      0    267      0     12      0      0      0   0.00   0.00      0   0.00 8599.5  0.000 40755.3  0.000      0      0      0      0      0      1.000    5.500  0.000
02/02/1988    392      0    392      0      0    722      0    198      0      0      0      0      0   0.00   0.00      0   0.00 8598.8  0.000 40748.0  0.000      0      0      0      0      0      1.000    7.000  0.000
02/03/1988    434      0    434      0      0    765      0    113      0      0      0      0      0   0.00   0.00      0   0.00 8597.9  0.000 40740.0  0.000      0      0      0      0      0      1.000    5.800  0.000
02/04/1988    483      0    483      0      0    755      0     74      0      0      0      0      0   0.00   0.00      0   0.00 8596.9  0.000 40731.4  0.000      0      0      0      0      0      1.000    6.200  0.000
02/05/1988    541      0    541      0      0    733      0     38      0      0      0      0      0   0.00   0.00      0   0.00 8595.8  0.000 40722.1  0.000      0      0      0      0      0      1.000    7.200  0.000
02/06/1988    596      0    596      0      0    704      0     12      0      0      0      0      0   0.00   0.00      0   0.00 8594.7  0.000 40712.1  0.000      0      0      0      0      0      1.000    7.200  0.000
02/07/1988    661      0    661      0      0    651      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8593.3  0.000 40701.2  0.000      0      0      0      0      0      1.000    8.100  0.000
02/08/1988    712      0    712      0      0    600      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8591.9  0.000 40689.8  0.000      0      0      0      0      0      1.000    9.100  0.000
02/09/1988    758      0    758      0      0    554      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8590.4  0.000 40677.9  0.000      0      0      0      0      0      1.000   10.100  0.000
02/10/1988    804      0    804      0      0    508      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8588.8  0.000 40665.4  0.000      0      0      0      0      0      1.000   10.700  0.000
02/11/1988    835      0    835      0      0    477      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8587.1  0.000 40652.6  0.000      0      0      0      0      0      1.000   11.600  0.000
02/12/1988    896      0    891      5      0    415      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8585.8  0.000 40590.7  0.000      0      0      0      0      0      1.000   12.300  0.000
02/13/1988    958      0    938     20      0    351      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8585.4  0.000 40594.5  0.000      0      0      0      0      0      1.000   11.900  0.000
02/14/1988   1027      0    979     48      0    279      0      0      0      0      0      0      0   0.00   0.00      0   0.00 8586.9  0.000 40622.8  0.000      0      0      0      0      0      1.000   10.400  0.000
02/15/1988   1104      0   1021     83      0    198      0      0      0      2      0      0      0   0.00   0.00      0   0.00 8590.9  0.000 40600.2  0.000      0      0      0      0      0      1.000   12.000  0.000
02/16/1988   1184      0   1066    118      0    113      0      0      0      6      0      0      0   0.00   0.00      0   0.00 8597.3  0.000 40689.9  0.000      0      0      0      0      0      1.000    9.900  0.000
02/17/1988   1217      0   1082    135      0     74      0      0      0     11      0      0      0   0.00   0.00      0   0.00 8604.9  0.000 40794.5  0.000      0      0      0      0      0      1.000    9.400  0.000
02/18/1988   1247      0   1092    155      0     38      0      2      0     15      0      0      0   0.00   0.00      0   0.00 8613.9  0.000 40916.7  0.000      0      0      0      0      0      1.000    9.400  0.000
02/19/1988   1256      0   1077    179      0     12      0      6      0     18      0      0      0   0.00   0.00      0   0.00 8624.7  0.000 41060.5  0.000      0      0      0      0      0      1.000    9.200  0.000
02/20/1988   1237      0   1048    189      0      0      0     11      0     23      0      0      0   0.00   0.00      0   0.00 8636.2  0.000 41213.5  0.000      0      0      0      0      0      1.000   11.100  0.000
02/21/1988   1198      0   1006    192      0      0      0     17      0     28      0      0      0   0.00   0.00      0   0.00 8648.1  0.000 41369.6  0.000      0      0      0      0      0      1.000   11.400  0.000
02/22/1988   1158      0    955    203      0      0      0     24      0     32      0      0      0   0.00   0.00      0   0.00 8660.8  0.000 41535.9  0.000      0      0      0      0      0      1.000   11.200  0.000
02/23/1988   1135      0    920    215      0      2      0     32      0     35      0      0      0   0.00   0.00      0   0.00 8675.6  0.000 41598.3  0.000      0      0      0      0      0      1.000   12.800  0.000
02/24/1988   1109      0    878    231      0      6      0     39      0     38      0      0      0   0.00   0.00      0   0.00 8691.8  0.000 41673.0  0.000      0      0      0      0      0      1.000   13.000  0.000
02/25/1988   1068      0    829    239      0     11      0     45      0     44      0      0      0   0.00   0.00      0   0.00 8708.6  0.000 41755.7  0.000      0      0      0      0      0      1.000   14.000  0.000
02/26/1988   1027      0    771    256      0     17      0     52      0     50      0      0      0   0.00   0.00      0   0.00 8726.9  0.000 41851.5  0.000      0      0      0      0      0      1.000   16.500  0.000
02/27/1988   1021      0    716    305      0     24      0     59      0     57      0      0      0   0.00   0.00      0   0.00 8726.2  0.000 41770.1  0.000      0      0      0      0      0      1.000   16.200  0.228
02/28/1988    980      0    651    329      0     34      0     66      0     63      0      0      0   0.00   0.00      0   0.00 8750.1  0.000 41918.3  0.000      0      0      0      0      0      1.000   14.800  0.000
02/29/1988    974      0    600    374      0     45      0     74      0     66      0      0      0   0.00   0.00      0   0.00 8749.4  0.000 41837.9  0.000      0      0      0      0      0      1.000   12.500  0.598
03/01/1988    968      0    554    414      0     56      0     84      0     67      0      0      0   0.00   0.00      0   0.00 8747.4  0.000 41823.6  0.000      0      0      0      0      0      1.000   10.800  0.272
03/02/1988    962      0    508    454      0     69      0     94      0     65      0      0      0   0.00   0.00      0   0.00 8745.5  0.000 41809.4  0.000      0      0      0      0      0      1.000    9.000  0.000
03/03/1988    915      0    477    438      0     83      0    102      0     71      0      0      0   0.00   0.00      0   0.00 8776.2  0.000 42189.8  0.000      0      0      0      0      0      1.000   11.300  0.000
03/04/1988    884      0    415    469      0    100      0    107      0     79      0      0      0   0.00   0.00      0   0.00 8810.6  0.000 42443.0  0.000      0      0      0      0      0      1.000   12.800  0.000
03/05/1988    846      0    351    495      0    119      0    109      0     93      0      0      0   0.00   0.00      0   0.00 8847.1  0.000 42718.0  0.000      0      0      0      0      0      1.000   14.100  0.000
03/06/1988    801      0    279    522      0    140      0    116      0    100      0      0      0   0.00   0.00      0   0.00 8885.5  0.000 43016.2  0.000      0      0      0      0      0      1.000   13.100  0.000
03/07/1988    694      0    200    494      0    161      0    123      0    106      0      0      0   0.00   0.00      0   0.00 8922.0  0.000 43304.6  0.000      0      0      0      0      0      1.000   12.500  0.000
03/08/1988    493      0    119    374      0    179      0    136      0    113      0      0      0   0.00   0.00      0   0.00 8949.5  0.000 43523.2  0.000      0      0      0      0      0      1.000   15.900  0.000
03/09/1988    467      0     85    382      0    196      0    149      0    106      0      0      0   0.00   0.00      0   0.00 8977.6  0.000 43749.4  0.000      0      0      0      0      0      1.000   13.000  0.000
