"","X1","Drone-Mite Survivorship (%)","Forager Lifespan (days)","Queen Strength","Worker to Drone","Worker-Mite Survivorship (%)","Adult Slope Contact","Adult LD50 Contact","Larva slope","Larva LD50","KOW","KOC","Half life"
"X1999","Colony Size",-0.0408077500777683,0.823847303921473,0.774073068141553,0.0089798847932518,-0.0020101397182962,-0.0276407227298433,0.0130612569989127,-0.0384602176115772,0.00582599778183595,-0.0315321208646342,-0.00303195949040918,0.0161173464630643
"X2000","Colony Size",0.00942754998222384,0.872756690319937,0.923803962879215,0.0435582518877719,0.0161307916451638,0.0115412678556223,-0.0306130230843551,0.017276821239612,-0.0208791837382249,0.0169963529534458,0.0467527711271704,0.0225121401362261
"X2001","Colony Size",0.0288734600297615,0.40845940374941,0.816607763951682,0.03772619536879,-0.00684785763576464,-0.0921277256148003,-0.0167809663901393,-0.0156700112415454,0.213351481171153,0.0179933340664087,0.0248222350111015,-0.0345035582616262
"X2002","Colony Size",0.0288782428468914,0.639930458770823,0.870421780625181,0.0484371970670312,-0.00832303873421376,-0.0391815539766169,-0.0195064351957189,-0.00142427491890701,0.135088248529326,0.0145440888153602,0.0406693718022602,-0.0276861978196727
"X2003","Colony Size",0.00238281230475319,0.789525863778155,0.824470151265667,0.0585806644942523,-0.00545991439923353,-0.0766376898978488,-0.0216055781169486,0.000536110086682208,0.176164098018652,0.00690515558676015,0.0472238373499107,-0.0207122349514901
"X1999.1","Adult Workers",0.00305458563450475,-0.0553198953272711,0.979605329744531,0.0111167352873726,0.0290544650624348,-0.0254320118954434,0.00628133015654646,-0.0347271630016003,-0.0182426309191683,0.0506045810427348,0.0331490918304566,0.0443277222993965
"X2000.1","Adult Workers",-0.0220200816675704,0.898543544281664,0.950928705443128,0.0584908354865985,0.0212408104700533,-0.00775514843158185,-0.0040878145266486,0.00514557657433601,-0.0135693800371501,0.0198094190684516,0.0555364871152041,0.0282763849047589
"X2001.1","Adult Workers",0.0194696097474056,0.214765935327853,0.793088336814481,0.0214840160278622,-0.00499316794833573,-0.135705279835764,-0.0213340191782452,-0.0197581307583726,0.273125719605817,0.021099186004733,0.0199412561334779,-0.0294531537516954
"X2002.1","Adult Workers",0.0301125647492585,0.650830968638907,0.928483780308575,0.0477813751651852,-0.00546543603157741,-0.0209684795002214,-0.0123232807507033,-0.00642289173919475,0.113235961999545,0.0218375415511583,0.0541658210516732,-0.0112255556056046
"X2003.1","Adult Workers",0.0149472354313933,0.703481803824846,0.817045244269815,0.0461547731984572,-0.00774441156032961,-0.080733899362257,-0.0274506381914805,0.00423093869651576,0.163832013631958,0.0147411618201571,0.0389836428030065,-0.0293347265339945
