"","X1","Drone-Mite Survivorship (%)","Forager Lifespan (days)","Queen Strength","Worker to Drone","Worker-Mite Survivorship (%)","Adult Slope Contact","Adult LD50 Contact","Larva slope","Larva LD50","KOW","KOC","Half life"
"X1999","Colony Size",-0.0450828892575873,0.684955852335549,0.559820308923836,0.0103979308119662,0.00814715020838824,-0.0319727934268732,-0.0065494996469779,-0.00954924357407482,-0.0225054949846145,0.00757803556349945,-0.0162861437862053,-0.00191426678540369
"X2000","Colony Size",-0.00306866442511152,0.5733321381404,0.737443202994156,-0.0207831841062863,-0.00748372145002562,0.0153881574599884,0.0210376082998896,-0.00771205439906377,0.00305769877339634,0.00310030157254373,0.0120124381018928,0.00284837065025272
"X2001","Colony Size",-0.0155258055124858,0.255666664979556,0.784501668226294,-0.0232789917145154,-0.0181871630272031,-0.00831035356492261,0.0139238099185831,-0.0140458826973054,0.0827469534114618,-0.00466913543068345,-0.010571522358615,-6.6957508131993e-05
"X2002","Colony Size",-0.0170135425551458,0.372114484649332,0.789526567138737,-0.0210676112199119,-0.0150167094228836,0.0148460232798259,0.0115789708605228,-0.00521197806256224,0.0408925427620179,0.00313224426599329,0.00107554114264907,-0.000991968367963105
"X2003","Colony Size",-0.0202622675042407,0.571291346711083,0.651802880498624,-0.0217236961928798,-0.0183676887423723,0.00165850283927842,0.0245217194276796,-0.00713818617868582,0.0608679756387896,0.00242160754768109,0.00500586120820438,0.000181467257843127
"X1999.1","Adult Workers",-0.00862438255503514,0.00566176282859908,0.978199781113946,-0.00599510618539817,-0.0071614394475355,0.000562246466422038,0.010611896316002,-0.00695109112751651,0.00118014194145119,-0.00309085346083041,0.00285603883134431,-0.00259045652151967
"X2000.1","Adult Workers",-0.0114396046031899,0.537654844765425,0.783741009303643,-0.0154182210759447,-0.00873665442499299,0.0079312919465426,0.019988093832072,-0.00847123255870825,0.000602975607878087,0.00615895736993174,0.0102091685305728,0.00355076557988919
"X2001.1","Adult Workers",-0.00940280915410936,0.150494211310385,0.786098010118273,-0.0243266508529465,-0.0208797925805493,-0.0267790516728175,0.0272536889097212,-0.0178974909064668,0.136840768086047,-0.0136368478821539,-0.0129263538942271,-0.00013089989091162
"X2002.1","Adult Workers",-0.0137265595404574,0.302064529206138,0.870103105831422,-0.0223307138711062,-0.0117179658212393,0.0186141708464241,0.011557952378824,-0.00201558588364383,0.0253650849993779,0.00807952890531849,-0.000483774546311853,0.000484509197224105
"X2003.1","Adult Workers",-0.0148181326169175,0.479117915068365,0.69651671028659,-0.0204831375728042,-0.0215589410749498,0.00352938986294258,0.0240557732667004,-0.00407723298977093,0.0631087286899486,-0.00119826697383801,0.00477970422717408,-0.00328728786308169
"X1999.2","Foragers",-0.0502050528857525,0.831807921800052,0.142325517807341,0.0160775778699732,0.0139283225181473,-0.0393405697854706,-0.0138197128526241,-0.00783793645988335,-0.028065044358321,0.0108315773828869,-0.0214077551828078,-0.000852486583428524
"X2000.2","Foragers",0.0078616141384089,0.593945946550792,0.655779876727061,-0.0268103769440736,-0.00547153778979795,0.0244272063156645,0.0217709661575528,-0.00660401956057433,0.00632098359264495,-0.00134899632863539,0.0140690903831611,0.0019114747354977
"X2001.2","Foragers",-0.0236143809722336,0.389118548547155,0.725836927736672,-0.0196176819382337,-0.0127707933761205,0.0188789384240581,-0.00671855142936943,-0.00715764314119147,-0.00347607604087825,0.00844628208379402,-0.00606562514659711,6.79585954287387e-05
"X2002.2","Foragers",-0.022592974839917,0.484904295918022,0.455682183345948,-0.0137076539062478,-0.0206654356071744,0.00192626598796938,0.0100302908158125,-0.0122830308812289,0.0756364675555313,-0.0113007346416901,0.004829287069243,-0.00469088781189134
"X2003.2","Foragers",-0.0268574095198649,0.678868768129184,0.565609999309179,-0.022342977176494,-0.0127131045184604,-0.00053844977204227,0.0236547617729237,-0.011028375990005,0.0544890317630544,0.00719039171310724,0.00534774537199006,0.00528045572435683
"X1999.3","Worker Eggs",-0.032999067208872,0.71795555713196,0.554583321965182,-0.0246439041270604,0.00267778154315761,0.0113724638302921,0.0239339062697583,0.000705471575260295,0.00944762727171039,-0.00537707302268691,0.0257166006328803,0.00391484137351887
"X2000.3","Worker Eggs",0.00587505330477068,0.184899831598963,0.939436452400932,-0.0106242029104695,-0.00761217188405362,0.00783098769935099,0.0141211087625131,-0.00785689308831003,0.0018393360875072,0.00623906887157437,0.00634220287155357,0.00547364813456559
